Category,Number,Question
Blast from the Past,302,What’s your favorite birthday memory?
Blast from the Past,312,What do you remember about your first day of school or your first teacher?
Blast from the Past,370,What is the first movie you saw in a theater?
Blast from the Past,371,What was the name of your first album/CD?
Blast from the Past,368,"In what sports, clubs, or activities were you most involved during high school?"
Blast from the Past,324,"Can you remember the address of one of your childhood homes? If so, what was it?"
Blast from the Past,369,Who was your first boyfriend or girlfriend? What was he or she like?
Blast from the Past,343,What’s your favorite picnic memory?
Blast from the Past,355,What is your earliest childhood memory?
Blast from the Past,356,What nightmare woke you?
Blast from the Past,341,What childhood accident stands out in your mind?
Blast from the Past,395,What are your best or worst childhood memories of going to a zoo or cir cus?
Blast from the Past,308,What one word sums up your high school experience?
Blast from the Past,398,How would you describe one of your happiest childhood memories?
Blast from the Past,304,What was your first job? How much did you get paid?
Blast from the Past,303,"Who was your best friend in high school, and where is he or she now?"
Blast from the Past,329,What was your favorite subject in school? Why?
Blast from the Past,354,"What’s one of the biggest purchases you made, and how did you negotiate thetransaction?"
Blast from the Past,357,How has your birth order affected you?
Blast from the Past,358,Have you ever suggested an idea for change that was adopted? What was it?
Blast from the Past,359,What’ s the best prank you’ve ever pulled off?
Blast from the Past,360,What’s the best prank someone pulled on you?
Blast from the Past,362,What lasting lesson did you learn from your parents?
Blast from the Past,363,What was the last concert you attended? Who did you go with?
Blast from the Past,364,What one new thing did you learn in the last week?
Blast from the Past,365,How many foreign countries have you visited? Which one stands out in your memor y?
Blast from the Past,353,What dream has come true for you?
Blast from the Past,301,What’s one of your greatest achievements?
Blast from the Past,372,What’s something that you did growing up that your parents never found out about?
Blast from the Past,350,What’s the best advice you’ve ever been given?
Blast from the Past,383,What was your best or worst job interview?
Blast from the Past,384,Have you ever had a challenging roommate situation? What was difficult about it?
Blast from the Past,385,What was your worst “nightmare” date?
Blast from the Past,386,What was your most romantic date?
Blast from the Past,387,What event in your life has brought about the greatest life-change?
Blast from the Past,388,What was one of your most frightening moments?
Blast from the Past,391,What outside influences have had the greatest impact on your family?
Blast from the Past,392,What’s the best thing you ever built or created?
Blast from the Past,393,What’s the story behind a time when a car you were in broke down?
Blast from the Past,394,What’s the most adventurous or daring thing you have ever done?
Blast from the Past,396,What was a recent déjà vu experience?
Extreme Spiritual Matters,972,Why should God let you into heaven?
Extreme Spiritual Matters,925,"If you were to die today, would you go to heaven? On what do you base your answer?"
Extreme Spiritual Matters,920,Who will be in heaven? Why?
Extreme Spiritual Matters,922,When have you seen “hell” here on earth?
Extreme Spiritual Matters,948,"The Bible says, “God is love.” What doesthat mean to you?"
Extreme Spiritual Matters,949,Who is Jesus Christ to you?
Extreme Spiritual Matters,951,Who’s the closest thing to a spiritual mentor to you?
Extreme Spiritual Matters,990,For what are you most thankful to God?
Extreme Spiritual Matters,953,What has produced the greatest spiritual growth in your life?
Extreme Spiritual Matters,962,How would you define sin?
Extreme Spiritual Matters,989,To what extent is your view of God influenced by your view of your father?
Extreme Spiritual Matters,955,How have you been disillusioned by religion?
Extreme Spiritual Matters,956,How comfortable are you discussing spiritual things with others?
Extreme Spiritual Matters,957,How is it possible that the death of one (Jesus Christ) overcomes (forgives) the sins of?
Extreme Spiritual Matters,958,Do you think it is possible to have a falsesense of security about your eternal destiny? Explain.
Extreme Spiritual Matters,947,What’s one thing about the existence (or nonexistence) of God that scares you?
Extreme Spiritual Matters,946,Why do you think Jesus was born? Why were you born?
Extreme Spiritual Matters,959,What do you think it means to be “born again”? What’s your knee-jerk reaction to this term?
Extreme Spiritual Matters,952,How has God demonstrated his love to you?
Extreme Spiritual Matters,963,"What are the repercussions of sin, if any?"
Extreme Spiritual Matters,944,What do you think God would say to you right now?
Extreme Spiritual Matters,964,Do you think it is possible to be indifferent or neutral toward God without offendinghim?
Extreme Spiritual Matters,965,What is your biggest personal spiritual dilemma or challenge?
Extreme Spiritual Matters,966,What do you think was the purpose of Jesus Christ’ s death?
Extreme Spiritual Matters,987,How do you “feed your spirit”?
Extreme Spiritual Matters,969,How has God changed you?
Extreme Spiritual Matters,970,What do you think God’s attitude is toward you?
Extreme Spiritual Matters,986,Have you ever been baptized? What does the sacrament of baptism mean to you?
Extreme Spiritual Matters,974,How confident are you about what willhappen to you in the afterlife? Explain.
Extreme Spiritual Matters,977,"Can hell, God’s justice, and God’s love all be real at the same time? Explain your answer."
Extreme Spiritual Matters,978,How comfortable would you feel about praying out loud with someone? Why?
Extreme Spiritual Matters,979,How do you distinguish God’ s voice from your own thoughts?
Extreme Spiritual Matters,980,What miracle do you wish God would perform right now?
Extreme Spiritual Matters,981,What’s one doubt you have regarding the existence of a Supreme Being?
Extreme Spiritual Matters,945,What do you think God will say to you when you die?
Extreme Spiritual Matters,943,What’s something most of your friends don’ t know about your spiritual side?
Extreme Spiritual Matters,923,Why do you suppose God doesn’ t just eliminate Satan now?
Extreme Spiritual Matters,999,Do you find it easy to ignore or avoid facing up to deep spiritual matters? Why?
Extreme Spiritual Matters,919,What prevents you from taking steps on your spiritual journey now?
Extreme Spiritual Matters,916,What has been your biggest obstacle tospiritual growth?
From the Heart,772,When do you feel insecure?
From the Heart,776,Who have you loved more than anyone else in your life? Explain. 
